matchup,score,away,home,away_score,home_score,home_win
Orlando Magic at Indiana Pacers,87 - 97,Orlando Magic,Indiana Pacers,87,97,1
Chicago Bulls at Miami Heat,95 - 107,Chicago Bulls,Miami Heat,95,107,1
Los Angeles Clippers at Los Angeles Lakers,103 - 116,Los Angeles Clippers,Los Angeles Lakers,103,116,1
Atlanta Hawks at Dallas Mavericks,109 - 118,Atlanta Hawks,Dallas Mavericks,109,118,1
Memphis Grizzlies at San Antonio Spurs,94 - 101,Memphis Grizzlies,San Antonio Spurs,94,101,1
Oklahoma City Thunder at Utah Jazz,101 - 98,Oklahoma City Thunder,Utah Jazz,101,98,0
Portland Trail Blazers at Phoenix Suns,91 - 104,Portland Trail Blazers,Phoenix Suns,91,104,1
Denver Nuggets at Sacramento Kings,88 - 90,Denver Nuggets,Sacramento Kings,88,90,1
Los Angeles Lakers at Golden State Warriors,94 - 125,Los Angeles Lakers,Golden State Warriors,94,125,1
Indiana Pacers at New Orleans Pelicans,95 - 90,Indiana Pacers,New Orleans Pelicans,95,90,0
Orlando Magic at Minnesota Timberwolves,115 - 120,Orlando Magic,Minnesota Timberwolves,115,120,1
Charlotte Bobcats at Houston Rockets,83 - 96,Charlotte Bobcats,Houston Rockets,83,96,1
Milwaukee Bucks at New York Knicks,83 - 90,Milwaukee Bucks,New York Knicks,83,90,1
Washington Wizards at Detroit Pistons,102 - 113,Washington Wizards,Detroit Pistons,102,113,1
Boston Celtics at Toronto Raptors,87 - 93,Boston Celtics,Toronto Raptors,87,93,1
Miami Heat at Philadelphia 76ers,110 - 114,Miami Heat,Philadelphia 76ers,110,114,1
Brooklyn Nets at Cleveland Cavaliers,94 - 98,Brooklyn Nets,Cleveland Cavaliers,94,98,1
New York Knicks at Chicago Bulls,81 - 82,New York Knicks,Chicago Bulls,81,82,1
Golden State Warriors at Los Angeles Clippers,115 - 126,Golden State Warriors,Los Angeles Clippers,115,126,1
Cleveland Cavaliers at Charlotte Bobcats,84 - 90,Cleveland Cavaliers,Charlotte Bobcats,84,90,1
San Antonio Spurs at Los Angeles Lakers,91 - 85,San Antonio Spurs,Los Angeles Lakers,91,85,0
Los Angeles Clippers at Sacramento Kings,110 - 101,Los Angeles Clippers,Sacramento Kings,110,101,0
Utah Jazz at Phoenix Suns,84 - 87,Utah Jazz,Phoenix Suns,84,87,1
Portland Trail Blazers at Denver Nuggets,113 - 98,Portland Trail Blazers,Denver Nuggets,113,98,0
Miami Heat at Brooklyn Nets,100 - 101,Miami Heat,Brooklyn Nets,100,101,1
Oklahoma City Thunder at Minnesota Timberwolves,81 - 100,Oklahoma City Thunder,Minnesota Timberwolves,81,100,1
Detroit Pistons at Memphis Grizzlies,108 - 111,Detroit Pistons,Memphis Grizzlies,108,111,1
New Orleans Pelicans at Orlando Magic,90 - 110,New Orleans Pelicans,Orlando Magic,90,110,1
Philadelphia 76ers at Washington Wizards,109 - 102,Philadelphia 76ers,Washington Wizards,109,102,0
Toronto Raptors at Atlanta Hawks,95 - 102,Toronto Raptors,Atlanta Hawks,95,102,1
Milwaukee Bucks at Boston Celtics,105 - 98,Milwaukee Bucks,Boston Celtics,105,98,0
Dallas Mavericks at Houston Rockets,105 - 113,Dallas Mavericks,Houston Rockets,105,113,1
Sacramento Kings at Golden State Warriors,87 - 98,Sacramento Kings,Golden State Warriors,87,98,1
San Antonio Spurs at Portland Trail Blazers,105 - 115,San Antonio Spurs,Portland Trail Blazers,105,115,1
Houston Rockets at Utah Jazz,104 - 93,Houston Rockets,Utah Jazz,104,93,0
Toronto Raptors at Milwaukee Bucks,97 - 90,Toronto Raptors,Milwaukee Bucks,97,90,0
Memphis Grizzlies at Dallas Mavericks,99 - 111,Memphis Grizzlies,Dallas Mavericks,99,111,1
Charlotte Bobcats at New Orleans Pelicans,84 - 105,Charlotte Bobcats,New Orleans Pelicans,84,105,1
Chicago Bulls at Philadelphia 76ers,104 - 107,Chicago Bulls,Philadelphia 76ers,104,107,1
Cleveland Cavaliers at Indiana Pacers,74 - 89,Cleveland Cavaliers,Indiana Pacers,74,89,1
Atlanta Hawks at Los Angeles Lakers,103 - 105,Atlanta Hawks,Los Angeles Lakers,103,105,1
Minnesota Timberwolves at New York Knicks,109 - 100,Minnesota Timberwolves,New York Knicks,109,100,0
Phoenix Suns at Oklahoma City Thunder,96 - 103,Phoenix Suns,Oklahoma City Thunder,96,103,1
Brooklyn Nets at Orlando Magic,86 - 107,Brooklyn Nets,Orlando Magic,86,107,1
Washington Wizards at Miami Heat,93 - 103,Washington Wizards,Miami Heat,93,103,1
Boston Celtics at Detroit Pistons,77 - 87,Boston Celtics,Detroit Pistons,77,87,1
Houston Rockets at Los Angeles Clippers,118 - 137,Houston Rockets,Los Angeles Clippers,118,137,1
Boston Celtics at Memphis Grizzlies,88 - 95,Boston Celtics,Memphis Grizzlies,88,95,1
Golden State Warriors at Philadelphia 76ers,110 - 90,Golden State Warriors,Philadelphia 76ers,110,90,0
Minnesota Timberwolves at Cleveland Cavaliers,92 - 93,Minnesota Timberwolves,Cleveland Cavaliers,92,93,1
Atlanta Hawks at Sacramento Kings,105 - 100,Atlanta Hawks,Sacramento Kings,105,100,0
Houston Rockets at Portland Trail Blazers,116 - 101,Houston Rockets,Portland Trail Blazers,116,101,0
San Antonio Spurs at Denver Nuggets,102 - 94,San Antonio Spurs,Denver Nuggets,102,94,0
Los Angeles Lakers at Dallas Mavericks,104 - 123,Los Angeles Lakers,Dallas Mavericks,104,123,1
Phoenix Suns at New Orleans Pelicans,104 - 98,Phoenix Suns,New Orleans Pelicans,104,98,0
Charlotte Bobcats at New York Knicks,102 - 97,Charlotte Bobcats,New York Knicks,102,97,0
Indiana Pacers at Detroit Pistons,99 - 91,Indiana Pacers,Detroit Pistons,99,91,0
Utah Jazz at Brooklyn Nets,88 - 104,Utah Jazz,Brooklyn Nets,88,104,1
Miami Heat at Toronto Raptors,104 - 95,Miami Heat,Toronto Raptors,104,95,0
Dallas Mavericks at Oklahoma City Thunder,93 - 107,Dallas Mavericks,Oklahoma City Thunder,93,107,1
Phoenix Suns at San Antonio Spurs,96 - 99,Phoenix Suns,San Antonio Spurs,96,99,1
Golden State Warriors at Minnesota Timberwolves,106 - 93,Golden State Warriors,Minnesota Timberwolves,106,93,0
Cleveland Cavaliers at Milwaukee Bucks,104 - 109,Cleveland Cavaliers,Milwaukee Bucks,104,109,1
New Orleans Pelicans at Memphis Grizzlies,99 - 84,New Orleans Pelicans,Memphis Grizzlies,99,84,0
Utah Jazz at Boston Celtics,87 - 97,Utah Jazz,Boston Celtics,87,97,1
Washington Wizards at Philadelphia 76ers,116 - 102,Washington Wizards,Philadelphia 76ers,116,102,0
Los Angeles Clippers at Orlando Magic,90 - 98,Los Angeles Clippers,Orlando Magic,90,98,1
Chicago Bulls at Indiana Pacers,80 - 97,Chicago Bulls,Indiana Pacers,80,97,1
Toronto Raptors at Charlotte Bobcats,90 - 92,Toronto Raptors,Charlotte Bobcats,90,92,1
Los Angeles Lakers at Houston Rockets,99 - 98,Los Angeles Lakers,Houston Rockets,99,98,0
Atlanta Hawks at Denver Nuggets,107 - 109,Atlanta Hawks,Denver Nuggets,107,109,1
Los Angeles Clippers at Miami Heat,97 - 102,Los Angeles Clippers,Miami Heat,97,102,1
Sacramento Kings at Portland Trail Blazers,91 - 104,Sacramento Kings,Portland Trail Blazers,91,104,1
Denver Nuggets at Phoenix Suns,103 - 114,Denver Nuggets,Phoenix Suns,103,114,1
Golden State Warriors at San Antonio Spurs,74 - 76,Golden State Warriors,San Antonio Spurs,74,76,1
Los Angeles Lakers at New Orleans Pelicans,85 - 96,Los Angeles Lakers,New Orleans Pelicans,85,96,1
Dallas Mavericks at Minnesota Timberwolves,108 - 116,Dallas Mavericks,Minnesota Timberwolves,108,116,1
Utah Jazz at Chicago Bulls,73 - 97,Utah Jazz,Chicago Bulls,73,97,1
Oklahoma City Thunder at Detroit Pistons,119 - 110,Oklahoma City Thunder,Detroit Pistons,119,110,0
New York Knicks at Charlotte Bobcats,101 - 91,New York Knicks,Charlotte Bobcats,101,91,0
Toronto Raptors at Indiana Pacers,84 - 91,Toronto Raptors,Indiana Pacers,84,91,1
Boston Celtics at Orlando Magic,91 - 89,Boston Celtics,Orlando Magic,91,89,0
Cleveland Cavaliers at Philadelphia 76ers,79 - 94,Cleveland Cavaliers,Philadelphia 76ers,79,94,1
Brooklyn Nets at Washington Wizards,108 - 112,Brooklyn Nets,Washington Wizards,108,112,1
Portland Trail Blazers at Sacramento Kings,96 - 85,Portland Trail Blazers,Sacramento Kings,96,85,0
Dallas Mavericks at Milwaukee Bucks,91 - 83,Dallas Mavericks,Milwaukee Bucks,91,83,0
Golden State Warriors at Memphis Grizzlies,90 - 108,Golden State Warriors,Memphis Grizzlies,90,108,1
Los Angeles Clippers at Houston Rockets,107 - 94,Los Angeles Clippers,Houston Rockets,107,94,0
Boston Celtics at Miami Heat,111 - 110,Boston Celtics,Miami Heat,111,110,0
